directed_id,original_edge_id,nvdb_id,name,geometry,is_reverse
89,89,1603138,Igelbäcksvägen,"LINESTRING (17.95365403896498 59.38623539314948, 17.953284424724973 59.38612924967584)",false
90,90,1603133,Grönlingens väg,"LINESTRING (17.9554736609841 59.385614357003874, 17.955005103483753 59.385743392667166, 17.954223363745534 59.38602806807704, 17.95365403896498 59.38623539314948)",false
91,91,1603132,Grönlingens väg,"LINESTRING (17.95658411954106 59.38527557462615, 17.95594456755383 59.385470673299324, 17.9554736609841 59.385614357003874)",false
92,92,1840934,Grahamsvägen,"LINESTRING (17.95797805696652 59.382950098160244, 17.95786338264192 59.382887893635285, 17.95774246750442 59.382810258069064, 17.957656105332372 59.382739449603285, 17.957585619109413 59.382666492757956, 17.957515072218964 59.382592431991846, 17.95746067406898 59.382511876512936, 17.957399958220467 59.38244148357125, 17.95731582297407 59.38238125467753, 17.957073934707825 59.38225212372868, 17.956478461108876 59.381936790198424)",false
93,93,1840797,Ursviksvägen,"LINESTRING (17.957515830597295 59.383411445855025, 17.957303057706444 59.38359501466359, 17.95715447292632 59.38375004833992, 17.95702135345013 59.383856189394855)",false
94,94,1840796,Ursviksvägen,"LINESTRING (17.957524788036608 59.383403718794014, 17.957515830597295 59.383411445855025)",false
95,95,1840795,Ursviksvägen,"LINESTRING (17.95797805696652 59.382950098160244, 17.957932593256043 59.38297530161623, 17.957891354490094 59.38301785977739, 17.957692927111957 59.38323914554867, 17.95754810859366 59.3833835987896, 17.957524788036608 59.383403718794014)",false
96,96,1840775,Ursviksvägen,"LINESTRING (17.95886171349176 59.382824049801805, 17.95862129853735 59.38284627327731, 17.95831842954507 59.382876796590445, 17.95819263628727 59.38289697556268, 17.9580945991395 59.3829175400779, 17.958011614706166 59.3829400544055, 17.95797805696652 59.382950098160244)",false
97,97,1840937,Länsmansbacken,"LINESTRING (17.958323016319312 59.381476072525, 17.958426971499375 59.38166366618376, 17.958505736875534 59.38181382110831, 17.958611930524732 59.38200302623516, 17.958669091197866 59.38212110651442, 17.958709344375205 59.382278380480145, 17.9587819194927 59.38250376176231, 17.95886171349176 59.382824049801805)",false
98,98,1840967,de Lavalvägen,"LINESTRING (17.958824103059705 59.381305822153095, 17.959265728095748 59.38163630994099, 17.95950554081165 59.38181147375801, 17.959569418880832 59.38186275289989, 17.95961959317576 59.38191724553703, 17.959663352929574 59.38197129070405, 17.959698851037757 59.38203036679839, 17.959732240239184 59.38211615187929, 17.959763306316418 59.38216358402036, 17.959851778405408 59.38224279895561)",false
99,99,1840992,Sevensvägen,"LINESTRING (17.961033486113394 59.38191531637598, 17.960740968042288 59.38162527243811, 17.9604588318852 59.38134839012337, 17.96007044150539 59.380989048028994)",false
100,100,1840997,Frejavägen,"LINESTRING (17.956478461108876 59.381936790198424, 17.95616822789143 59.38198702885719, 17.955987401223155 59.382015130047094, 17.955808825484542 59.38203611705705, 17.95567217217854 59.38204422020539, 17.95554409379429 59.382044005598615, 17.955382847938203 59.38204213449462)",false
101,101,1840998,Frejavägen,"LINESTRING (17.956478461108876 59.381936790198424, 17.957170537460023 59.381792461780314, 17.95734664234415 59.38175708861685, 17.95750283767829 59.381718195088794, 17.957655149901612 59.381677187918655, 17.958323016319312 59.381476072525)",false
102,102,1840999,Grahamsvägen,"LINESTRING (17.956478461108876 59.381936790198424, 17.956313780538412 59.38183179540488, 17.956222411993757 59.3817485373339, 17.956159990093497 59.38166700412648, 17.9560900339706 59.381549114154815, 17.955960393960616 59.381332780274064)",false
103,103,1841023,Frejavägen,"LINESTRING (17.958824103059705 59.381305822153095, 17.958323016319312 59.381476072525)",false
104,104,1841031,Frejavägen,"LINESTRING (17.96007044150539 59.380989048028994, 17.959594293962006 59.3811028360359, 17.958824103059705 59.381305822153095)",false
105,105,1841034,Sandåsvägen,"LINESTRING (17.956036713541238 59.381318621526404, 17.955960393960616 59.381332780274064)",false
