edge_id,source,target,osm_id,highway,name,maxspeed,oneway,lanes,surface,refs,geometry,is_reverse,length_m,maxspeed_kmh,cost_s,from_cell,to_cell,lca_res
1335,9359544889,2026646238,192096972,residential,Oxenstiernas allé,30,yes,,asphalt,"[9359544889, 2026646256, 2026646238]","LINESTRING (17.945198400000002 59.3817655, 17.9452158 59.38189920000001, 17.9451717 59.381973200000004)",false,23.498486,30.0,2.8198183,612639521672003583,612639521672003583,8
1336,1762950487,1762950489,145234726,residential,Gåsörtsvägen,30,,,asphalt,"[1762950487, 1762950489]","LINESTRING (17.9501685 59.3870754, 17.9493882 59.387349900000004)",false,53.701645,30.0,6.4441977,612639521672003583,612639521672003583,8
1337,1922577210,9624093414,1046540603,residential,,30,,,,"[1922577210, 9624093414]","LINESTRING (17.962461700000002 59.372041100000004, 17.962778800000002 59.372156800000006)",false,22.095322,30.0,2.6514385,612639521705558015,612639521705558015,8
1338,2357011601,1813539317,226963475,service,,20.0,,,asphalt,"[2357011601, 1813539317]","LINESTRING (17.9592561 59.364238900000004, 17.959108200000003 59.364001300000005)",false,27.717203,20.0,4.9890966,612639521770569727,612639521770569727,8
1339,2026646201,2026646221,192096977,residential,Skördegatan,30,,,,"[2026646201, 2026646221]","LINESTRING (17.9448672 59.385139, 17.9463124 59.384830900000004)",false,88.720085,30.0,10.64641,612639521672003583,612639521672003583,8
1340,2343329794,2343329797,225567950,service,,20.0,,,fine_gravel,"[2343329794, 13255485522, 2343329797]","LINESTRING (17.9798434 59.384139700000006, 17.9797546 59.384152300000004, 17.9793336 59.384211900000004)",false,29.965092,20.0,5.3937163,612639521722335231,612639521722335231,8
1341,2343329808,2343329801,246310503,service,,20.0,,,,"[2343329808, 13255453485, 2343329801]","LINESTRING (17.976141000000002 59.38436110000001, 17.976707100000002 59.38425290000001, 17.976828700000002 59.384229600000005)",false,41.598396,20.0,7.487711,612639521669906431,612639521669906431,8
1342,2357011511,2357011583,226963474,service,,20.0,,,asphalt,"[2357011511, 2357011583]","LINESTRING (17.9597687 59.36388290000001, 17.959947500000002 59.364119)",false,28.140192,20.0,5.0652347,612639521770569727,612639521770569727,8
1343,2357011595,2357011589,226963465,service,,20.0,,,asphalt,"[2357011595, 2357011589]","LINESTRING (17.9595606 59.364192200000005, 17.959646300000003 59.36417110000001)",false,5.3930826,20.0,0.9707549,612639521770569727,612639521770569727,8
1344,2357011637,2357011609,226963486,service,,20.0,,,asphalt,"[2357011637, 2357011618, 2357011609]","LINESTRING (17.9580986 59.36462280000001, 17.9591248 59.364435300000004, 17.9596264 59.36430970000001)",false,93.43927,20.0,16.81907,612639521770569727,612639521770569727,8
1345,2462950635,2462950643,1087921741,tertiary,,50,,,asphalt,"[2462950635, 2462950639, 2462950649, 2462950643]","LINESTRING (17.9705559 59.376606900000006, 17.9705157 59.3765647, 17.970514700000003 59.3765331, 17.9705358 59.3764983)",false,12.779869,50.0,0.9201506,612639521667809279,612639521667809279,8
1346,2343329876,1353610028,60142922,residential,Fågelhundsvägen,30,,,asphalt,"[2343329876, 1353610028]","LINESTRING (17.9779531 59.3854661, 17.9787076 59.3852465)",false,49.210857,30.0,5.905303,612639521665712127,612639521722335231,6
1347,8606206228,1357212258,121183744,residential,Tritonvägen,30,,,asphalt,"[8606206228, 1357212258]","LINESTRING (17.971897600000002 59.356502500000005, 17.9714737 59.356479300000004)",false,24.162844,30.0,2.8995414,612639521078509567,612639521078509567,8
1348,1711841899,1711841859,176640881,service,,20.0,,,asphalt,"[1711841899, 1711841859]","LINESTRING (17.9653534 59.363441900000005, 17.965075000000002 59.3635298)",false,18.557714,20.0,3.3403885,612639521709752319,612639521709752319,8
1349,1859397269,1711841997,1041239807,tertiary,Järnvägsgatan,40,yes,1,asphalt,"[1859397269, 1711841997]","LINESTRING (17.9646706 59.363199400000006, 17.9652128 59.3630276)",false,36.178257,40.0,3.2560432,612639521709752319,612639521709752319,8
